Country Name,International migrant stock (% of population),"Life expectancy at birth, total (years)",GDP (constant 2015 US$),Urban population (% of total population),Access to electricity (% of population),Individuals using the Internet (% of population)
Afghanistan,1.17554692684705,62.659,19998156214.3988,24.803,71.5,8.26
Albania,1.98903641031678,78.644,11386850129.8411,57.434,99.9800033569336,56.9
Algeria,0.611072022730303,75.622,165979279263.174,70.848,99.1866607666016,38.2
Angola,0.427004679966497,60.655,87219300384.5072,63.446,42.0,22.0
Antigua and Barbuda,30.5855061099131,77.913,1336692592.59259,25.0,100.0,70.0
Argentina,4.80529233472193,76.76,594749285413.212,91.503,99.6253890991211,68.04306411
Armenia,6.33589288838696,74.436,10553337672.9872,63.085,100.0,59.10083377
Aruba,34.7621018587146,75.683,2963128491.62011,43.108,100.0,88.66122693
Australia,28.2184096915625,82.4,1350615691821.28,85.701,100.0,84.56051491
Austria,17.465726250517,81.190243902439,381971148530.543,57.715,100.0,83.94014193
Azerbaijan,2.70906158396255,71.451,53074370486.0433,54.714,100.0,77.0
"Bahamas, The",15.2843030882508,73.104,11861900000.0,82.746,100.0,78.0
Bahrain,51.12678500505,79.405,31050638297.8723,88.999,100.0,93.4783008
Bangladesh,0.883753735396142,70.491,195078678697.23,34.308,74.9037399291992,12.9
Barbados,12.1299016589554,76.65,4724691200.0,31.249,100.0,76.11
Belarus,11.4040105621143,73.6243902439025,56454734396.5842,77.181,100.0,62.23036091
Belgium,12.2835331942319,80.9926829268293,462335574841.484,97.876,100.0,85.05294175
Belize,14.990801225761,73.187,2210500000.0,45.406,91.8000030517578,41.59
Benin,2.25554096484421,59.377,11388160997.1089,45.695,29.6200008392334,11.25498791
Bermuda,30.8463970066447,81.0121951219512,6654541000.0,100.0,100.0,98.32360965
Bhutan,6.59576939457687,70.343,2003598212.99135,38.678,95.5307159423828,39.8
Bolivia,1.33326744185504,67.318,33000198248.3362,68.393,91.522819519043,37.49
Bosnia and Herzegovina,0.913364839954483,76.182,16211541593.4222,47.173,99.6999969482422,52.6
Botswana,7.10033436685768,63.818,13530738157.7648,67.155,62.1300010681152,37.31205037
Brazil,0.34331320024167,74.332,1802214373741.32,85.77,99.7108993530273,58.32795173
Brunei Darussalam,24.2759719084662,74.75,12930394937.8137,76.663,100.0,71.2
Bulgaria,1.428196392424,74.6146341463415,50781996712.7635,73.99,100.0,56.65625161
Burkina Faso,3.89203985292924,58.845,11832159275.603,27.53,16.0769748687744,8.0
Burundi,2.56563222872762,60.217,3104003611.42957,12.078,8.42765235900879,2.0
Cabo Verde,2.86723201832078,74.62,1596800287.16405,64.3,86.3578414916992,42.68301416
Cambodia,0.474794450779274,69.873,18049954289.4229,22.188,64.9104232788086,18.0
Cameroon,1.63631370372888,59.658,32210232911.6626,54.578,58.5955924987793,18.3
Canada,21.801663648343,81.9,1556508816217.14,81.259,100.0,90.0
Central African Republic,1.6651721924121,52.793,1695825708.45604,40.277,12.727029800415,2.9
Chad,3.68277137079953,51.589,10950392219.9104,22.515,7.69999980926514,3.5
Chile,2.61551321666127,79.746,242496649874.236,87.36,99.71484375,76.62959195
China,0.071076396299372,76.977,11061553079876.4,55.5,100.0,50.3
Colombia,0.276047226979187,76.257,293481753078.868,79.764,98.186897277832,55.90497251
Comoros,1.59231629704974,62.896,966029542.038859,28.47,74.5719833374023,7.459161386
"Congo, Dem. Rep.",0.70624628058302,58.49,37917704900.0794,42.74,16.1482429504395,3.799999507
"Congo, Rep.",8.50579936930912,63.233,11890259136.1098,65.543,44.4016494750977,7.615974662
Costa Rica,8.77100991087492,79.086,56441917652.9812,76.862,99.4098052978516,59.76295014
Cote d'Ivoire,9.58259865535208,57.762,45814637971.4745,49.444,62.5999984741211,16.7
Croatia,13.6047139871854,77.2756097560976,50242783066.1173,56.155,100.0,69.84503592
