Country Name	"Country Code"	"Series Name"	"Series Code"	"2018 [YR2018]"
Afghanistan	"AFG"	"Bird species, threatened"	"EN.BIR.THRD.NO"	"16"
Afghanistan	"AFG"	"Mammal species, threatened"	"EN.MAM.THRD.NO"	"11"
Afghanistan	"AFG"	"Fish species, threatened"	"EN.FSH.THRD.NO"	"4"
Afghanistan	"AFG"	"Terrestrial protected areas (% of total land area)"	"ER.LND.PTLD.ZS"	"0.104707034792812"
Afghanistan	"AFG"	"Terrestrial and marine protected areas (% of total territorial area)"	"ER.PTD.TOTL.ZS"	"0.104707034792812"
Albania	"ALB"	"Bird species, threatened"	"EN.BIR.THRD.NO"	"8"
Albania	"ALB"	"Mammal species, threatened"	"EN.MAM.THRD.NO"	"3"
Albania	"ALB"	"Fish species, threatened"	"EN.FSH.THRD.NO"	"44"
Albania	"ALB"	"Terrestrial protected areas (% of total land area)"	"ER.LND.PTLD.ZS"	"17.7360953122157"
Albania	"ALB"	"Terrestrial and marine protected areas (% of total territorial area)"	"ER.PTD.TOTL.ZS"	"13.5256825491485"
Algeria	"DZA"	"Bird species, threatened"	"EN.BIR.THRD.NO"	"15"
Algeria	"DZA"	"Mammal species, threatened"	"EN.MAM.THRD.NO"	"14"
Algeria	"DZA"	"Fish species, threatened"	"EN.FSH.THRD.NO"	"41"
Algeria	"DZA"	"Terrestrial protected areas (% of total land area)"	"ER.LND.PTLD.ZS"	"7.49506002830462"
Algeria	"DZA"	"Terrestrial and marine protected areas (% of total territorial area)"	"ER.PTD.TOTL.ZS"	"7.10549311732352"
American Samoa	"ASM"	"Bird species, threatened"	"EN.BIR.THRD.NO"	"8"
American Samoa	"ASM"	"Mammal species, threatened"	"EN.MAM.THRD.NO"	"1"
American Samoa	"ASM"	"Fish species, threatened"	"EN.FSH.THRD.NO"	"12"
American Samoa	"ASM"	"Terrestrial protected areas (% of total land area)"	"ER.LND.PTLD.ZS"	"15.8477447307274"
American Samoa	"ASM"	"Terrestrial and marine protected areas (% of total territorial area)"	"ER.PTD.TOTL.ZS"	"8.71956554004454"
Andorra	"AND"	"Bird species, threatened"	"EN.BIR.THRD.NO"	"3"
Andorra	"AND"	"Mammal species, threatened"	"EN.MAM.THRD.NO"	"2"
Andorra	"AND"	"Fish species, threatened"	"EN.FSH.THRD.NO"	"0"
Andorra	"AND"	"Terrestrial protected areas (% of total land area)"	"ER.LND.PTLD.ZS"	"26.7277247815139"
Andorra	"AND"	"Terrestrial and marine protected areas (% of total territorial area)"	"ER.PTD.TOTL.ZS"	"26.7277247815139"
Angola	"AGO"	"Bird species, threatened"	"EN.BIR.THRD.NO"	"32"
Angola	"AGO"	"Mammal species, threatened"	"EN.MAM.THRD.NO"	"18"
Angola	"AGO"	"Fish species, threatened"	"EN.FSH.THRD.NO"	"53"
Angola	"AGO"	"Terrestrial protected areas (% of total land area)"	"ER.LND.PTLD.ZS"	"6.97142669594584"
Angola	"AGO"	"Terrestrial and marine protected areas (% of total territorial area)"	"ER.PTD.TOTL.ZS"	"5.00471082728009"
Antigua and Barbuda	"ATG"	"Bird species, threatened"	"EN.BIR.THRD.NO"	"3"
Antigua and Barbuda	"ATG"	"Mammal species, threatened"	"EN.MAM.THRD.NO"	"2"
Antigua and Barbuda	"ATG"	"Fish species, threatened"	"EN.FSH.THRD.NO"	"31"
Antigua and Barbuda	"ATG"	"Terrestrial protected areas (% of total land area)"	"ER.LND.PTLD.ZS"	"18.5696736890488"
Antigua and Barbuda	"ATG"	"Terrestrial and marine protected areas (% of total territorial area)"	"ER.PTD.TOTL.ZS"	"0.258339766209328"
Argentina	"ARG"	"Bird species, threatened"	"EN.BIR.THRD.NO"	"52"
Argentina	"ARG"	"Mammal species, threatened"	"EN.MAM.THRD.NO"	"38"
Argentina	"ARG"	"Fish species, threatened"	"EN.FSH.THRD.NO"	"42"
Argentina	"ARG"	"Terrestrial protected areas (% of total land area)"	"ER.LND.PTLD.ZS"	"8.80825141581955"
Argentina	"ARG"	"Terrestrial and marine protected areas (% of total territorial area)"	"ER.PTD.TOTL.ZS"	"7.40512875012761"
Armenia	"ARM"	"Bird species, threatened"	"EN.BIR.THRD.NO"	"14"
Armenia	"ARM"	"Mammal species, threatened"	"EN.MAM.THRD.NO"	"9"
Armenia	"ARM"	"Fish species, threatened"	"EN.FSH.THRD.NO"	"3"
Armenia	"ARM"	"Terrestrial protected areas (% of total land area)"	"ER.LND.PTLD.ZS"	"23.1105028060216"
Armenia	"ARM"	"Terrestrial and marine protected areas (% of total territorial area)"	"ER.PTD.TOTL.ZS"	"23.1105028060216"
Aruba	"ABW"	"Bird species, threatened"	"EN.BIR.THRD.NO"	"2"
Aruba	"ABW"	"Mammal species, threatened"	"EN.MAM.THRD.NO"	"2"
