Time	Time Code	Country Name	Country Code	International migrant stock (% of population)	Life expectancy at birth, total (years)	GDP (constant 2015 US$)	Urban population (% of total population)	Access to electricity (% of population)	Individuals using the Internet (% of population)
2015	YR2015	Afghanistan	AFG	1.17554692684705	62.659	19998156214.3988	24.803	71.5	8.26
2015	YR2015	Albania	ALB	1.98903641031678	78.644	11386850129.8411	57.434	99.9800033569336	56.9
2015	YR2015	Algeria	DZA	0.611072022730303	75.622	165979279263.174	70.848	99.1866607666016	38.2
2015	YR2015	American Samoa	ASM	41.8020094349815	..	673000000	87.238	..	..
2015	YR2015	Andorra	AND	59.713649198984	..	2789870187.50693	88.345	100	87.9
2015	YR2015	Angola	AGO	0.427004679966497	60.655	87219300384.5072	63.446	42	22
2015	YR2015	Antigua and Barbuda	ATG	30.5855061099131	77.913	1336692592.59259	25	100	70
2015	YR2015	Argentina	ARG	4.80529233472193	76.76	594749285413.212	91.503	99.6253890991211	68.04306411
2015	YR2015	Armenia	ARM	6.33589288838696	74.436	10553337672.9872	63.085	100	59.10083377
2015	YR2015	Aruba	ABW	34.7621018587146	75.683	2963128491.62011	43.108	100	88.66122693
2015	YR2015	Australia	AUS	28.2184096915625	82.4	1350615691821.28	85.701	100	84.56051491
2015	YR2015	Austria	AUT	17.465726250517	81.190243902439	381971148530.543	57.715	100	83.94014193
2015	YR2015	Azerbaijan	AZE	2.70906158396255	71.451	53074370486.0433	54.714	100	77
2015	YR2015	Bahamas, The	BHS	15.2843030882508	73.104	11861900000	82.746	100	78
2015	YR2015	Bahrain	BHR	51.12678500505	79.405	31050638297.8723	88.999	100	93.4783008
2015	YR2015	Bangladesh	BGD	0.883753735396142	70.491	195078678697.23	34.308	74.9037399291992	12.9
2015	YR2015	Barbados	BRB	12.1299016589554	76.65	4724691200	31.249	100	76.11
2015	YR2015	Belarus	BLR	11.4040105621143	73.6243902439025	56454734396.5842	77.181	100	62.23036091
2015	YR2015	Belgium	BEL	12.2835331942319	80.9926829268293	462335574841.484	97.876	100	85.05294175
2015	YR2015	Belize	BLZ	14.990801225761	73.187	2210500000	45.406	91.8000030517578	41.59
2015	YR2015	Benin	BEN	2.25554096484421	59.377	11388160997.1089	45.695	29.6200008392334	11.25498791
2015	YR2015	Bermuda	BMU	30.8463970066447	81.0121951219512	6654541000	100	100	98.32360965
2015	YR2015	Bhutan	BTN	6.59576939457687	70.343	2003598212.99135	38.678	95.5307159423828	39.8
2015	YR2015	Bolivia	BOL	1.33326744185504	67.318	33000198248.3362	68.393	91.522819519043	37.49
2015	YR2015	Bosnia and Herzegovina	BIH	0.913364839954483	76.182	16211541593.4222	47.173	99.6999969482422	52.6
2015	YR2015	Botswana	BWA	7.10033436685768	63.818	13530738157.7648	67.155	62.1300010681152	37.31205037
2015	YR2015	Brazil	BRA	0.34331320024167	74.332	1802214373741.32	85.77	99.7108993530273	58.32795173
