Time	Time Code	Country Name	Country Code	Total greenhouse gas emissions (kt of CO2 equivalent)	Renewable energy consumption (% of total final energy consumption)	CO2 emissions (kt)	Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)	Agricultural methane emissions (thousand metric tons of CO2 equivalent) [EN.ATM.METH.AG.KT.CE]	Urban population (% of total population)
2016	YR2016	Afghanistan	AFG	26889.9993896484	19.92	5300.00019073486	4680	10630	25.02
2016	YR2016	Albania	ALB	9090.00015258789	39.43	4480.00001907349	1110	2100	58.421
2016	YR2016	Algeria	DZA	265359.985351563	0.08	154910.003662109	5460	6970	71.459
2016	YR2016	American Samoa	ASM	..	0.3	..	..	..	87.198
2016	YR2016	Andorra	AND	589.999973773956	19.32	469.999998807907	..	..	88.248
2016	YR2016	Angola	AGO	85910.0036621094	49.03	29760.0002288818	17650	17700	64.149
2016	YR2016	Antigua and Barbuda	ATG	1120.00000476837	0.6	500	10	20	24.846
2016	YR2016	Argentina	ARG	373329.986572266	9.38	183160.003662109	43680	82830	91.627
2016	YR2016	Armenia	ARM	9409.99984741211	13.15	5070.00017166138	1520	810	63.082
2016	YR2016	Aruba	ABW	..	6.99	..	..	..	43.192
2016	YR2016	Australia	AUS	574450.012207031	9.42	384989.990234375	52100	68000	85.8
2016	YR2016	Austria	AUT	76730.0033569336	34.64	63680.0003051758	2660	4830	57.905
2016	YR2016	Azerbaijan	AZE	50860.0006103516	1.94	32240.0016784668	3300	4020	55.021
2016	YR2016	Bahamas, The	BHS	2359.99989509583	1.53	2039.99996185303	20	10	82.832
2016	YR2016	Bahrain	BHR	49349.9984741211	0	30299.9992370605	40	20	89.09
2016	YR2016	Bangladesh	BGD	193960.006713867	30.49	74379.997253418	25090	58370	35.083
2016	YR2016	Barbados	BRB	3779.99997138977	3.49	1289.99996185303	30	30	31.193
2016	YR2016	Belarus	BLR	83889.9993896484	6.74	55139.9993896484	10930	9250	77.661
2016	YR2016	Belgium	BEL	110379.997253418	9.2	94220.0012207031	3340	6250	97.919
2016	YR2016	Belize	BLZ	1490.00000953674	33.38	649.999976158142	220	180	45.495
2016	YR2016	Benin	BEN	13819.9996948242	45.42	6739.99977111816	2270	2970	46.229
2016	YR2016	Bermuda	BMU	..	1.09	..	..	..	100
2016	YR2016	Bhutan	BTN	1559.99994277954	85.02	930.000007152557	100	420	39.428
2016	YR2016	Bolivia	BOL	59790.0009155273	7.95	22010.0002288818	8660	18810	68.738
2016	YR2016	Bosnia and Herzegovina	BIH	27469.9993133545	23.03	22340.0001525879	1200	1540	47.518
2016	YR2016	Botswana	BWA	11100.0003814697	26.13	6630.00011444092	1720	2100	67.933
2016	YR2016	Brazil	BRA	1063569.94628906	45.46	447079.986572266	163240	339750	86.042
2016	YR2016	British Virgin Islands	VGB	..	1.01	..	..	..	46.957
2016	YR2016	Brunei Darussalam	BRN	9029.99973297119	0.01	6969.99979019165	110	20	76.99
2016	YR2016	Bulgaria	BGR	54189.998626709	17.71	41590.0001525879	3440	1840	74.329
2016	YR2016	Burkina Faso	BFA	29420.0000762939	72.27	3700.00004768372	9160	13670	28.134
2016	YR2016	Burundi	BDI	4000	89.52	439.999997615814	1510	1310	12.388
2016	YR2016	Cabo Verde	CPV	720.000028610229	24.62	550.000011920929	60	60	64.784
2016	YR2016	Cambodia	KHM	34159.9998474121	58.01	11069.9996948242	3830	17170	22.582
2016	YR2016	Cameroon	CMR	89080.0018310547	78.78	9079.99992370605	5610	7270	55.179
2016	YR2016	Canada	CAN	704750	22.05	556830.017089844	32610	23830	81.3
2016	YR2016	Cayman Islands	CYM	..	0.01	..	..	..	100
2016	YR2016	Central African Republic	CAF	22860.0006103516	92.11	209.999993443489	9230	10390	40.618
2016	YR2016	Chad	TCD	72230.0033569336	77.77	2210.00003814697	22800	41750	22.677
2016	YR2016	Channel Islands	CHI	..	..	..	..	..	30.93
2016	YR2016	Chile	CHL	106589.996337891	24.55	86489.9978637695	5100	5170	87.422
2016	YR2016	China	CHN	11800830.078125	12.56	9874660.15625	357170	342250	56.736
2016	YR2016	Colombia	COL	178210.006713867	30.74	82680.0003051758	17350	39810	80.108
2016	YR2016	Comoros	COM	519.999980926514	60.5	219.999998807907	50	240	28.619
2016	YR2016	Congo, Dem. Rep.	COD	52450.0007629395	97.03	2420.00007629395	13480	13320	43.307
2016	YR2016	Congo, Rep.	COG	14970.0002670288	67.61	5500	1880	1490	66.001
2016	YR2016	Costa Rica	CRI	15229.9995422363	36.81	8079.99992370605	1590	2470	77.735
2016	YR2016	Cote d'Ivoire	CIV	23969.9993133545	64.04	9590.00015258789	3530	3700	49.881
2016	YR2016	Croatia	HRV	22670.0000762939	31.83	16879.9991607666	1170	1410	56.403
2016	YR2016	Cuba	CUB	43139.9993896484	19.2	27170.0000762939	3300	7820	76.93
2016	YR2016	Curacao	CUW	..	1.74	..	..	..	89.272
2016	YR2016	Cyprus	CYP	8600.00038146973	10.36	7219.99979019165	220	170	66.881
2016	YR2016	Czechia	CZE	122980.003356934	14.77	101730.003356934	4110	3020	73.57
2016	YR2016	Denmark	DNK	49419.9981689453	32.17	35319.9996948242	4460	6060	87.642
2016	YR2016	Djibouti	DJI	1360.00001430511	24.91	419.999986886978	250	470	77.528
2016	YR2016	Dominica	DMA	250	10.88	180.000007152557	10	30	69.88
2016	YR2016	Dominican Republic	DOM	37770.0004577637	15.31	24590.0001525879	2830	6050	79.436
2016	YR2016	Ecuador	ECU	72800.0030517578	14.75	39810.001373291	4160	8570	63.534
2016	YR2016	Egypt, Arab Rep.	EGY	325470.001220703	5.31	231229.995727539	15670	15570	42.732
2016	YR2016	El Salvador	SLV	12250	20.71	7170.00007629395	990	1520	70.501
2016	YR2016	Equatorial Guinea	GNQ	13850.0003814697	3.95	6659.99984741211	10	10	71.138
2016	YR2016	Eritrea	ERI	6019.99998092651	77.31	660.000026226044	1600	2980	38.827
2016	YR2016	Estonia	EST	18690.0005340576	27.24	15989.9997711182	1180	630	68.563
2016	YR2016	Eswatini	SWZ	2539.99996185303	69.61	839.999973773956	360	600	23.459
2016	YR2016	Ethiopia	ETH	142830.001831055	90.49	14970.0002670288	43160	67010	19.866
2016	YR2016	Faroe Islands	FRO	..	6.32	..	..	..	41.777
2016	YR2016	Fiji	FJI	2140.00010490417	27.68	1519.99998092651	160	260	55.235
2016	YR2016	Finland	FIN	57029.9987792969	42.4	45700.0007629395	3700	2300	85.275
2016	YR2016	France	FRA	433600.006103516	14.24	313920.013427734	32240	42820	79.917
2016	YR2016	French Polynesia	PYF	..	8.08	..	..	..	61.734
2016	YR2016	Gabon	GAB	14300.0001907349	80.77	6420.00007629395	350	210	88.559
2016	YR2016	Gambia, The	GMB	2240.00000953674	48.62	529.999971389771	340	920	59.918
2016	YR2016	Georgia	GEO	17579.9999237061	27.64	9649.99961853027	1150	1200	57.837
2016	YR2016	Germany	DEU	846940.002441406	14.24	747150.024414063	28460	33800	77.224
2016	YR2016	Ghana	GHA	32090.0001525879	45.22	16069.9996948242	4700	5250	54.749
2016	YR2016	Gibraltar	GIB	..	0	..	..	..	100
2016	YR2016	Greece	GRC	87160.0036621094	16.41	66849.9984741211	3450	4200	78.387
2016	YR2016	Greenland	GRL	..	12.05	..	..	..	86.326
2016	YR2016	Grenada	GRD	2309.99994277954	11.4	280.000001192093	10	10	36.072
2016	YR2016	Guam	GUM	..	3.03	..	..	..	94.617
2016	YR2016	Guatemala	GTM	32340.0001525879	63.34	17489.9997711182	3820	6120	50.319
2016	YR2016	Guinea	GIN	25739.9997711182	75.29	2819.9999332428	6600	13240	35.46
2016	YR2016	Guinea-Bissau	GNB	2390.00010490417	86.73	310.000002384186	710	1130	42.533
2016	YR2016	Guyana	GUY	4869.99988555908	21.41	2480.00001907349	850	1230	26.482
2016	YR2016	Haiti	HTI	10369.9998855591	76.13	3359.99989509583	1410	3140	53.396
2016	YR2016	Honduras	HND	21149.9996185303	52.77	9470.00026702881	2390	4510	55.813
2016	YR2016	Hong Kong SAR, China	HKG	..	0.16	..	..	..	100
2016	YR2016	Hungary	HUN	58880.0010681152	15.34	44250	4910	2500	70.779
2016	YR2016	Iceland	ISL	2839.99991416931	80.25	1629.99999523163	340	310	93.735
2016	YR2016	India	IND	3106340.08789063	33.02	2195250	213450	491430	33.182
2016	YR2016	Indonesia	IDN	847580.017089844	28.24	482510.009765625	79580	89270	53.989
2016	YR2016	Iran, Islamic Rep.	IRN	880989.990234375	1.04	607210.021972656	15670	17510	73.88
