Time	Time Code	Country Name	Country Code	Net migration	Life expectancy at birth, total (years)	GDP per capita (current US$)	Urban population (% of total population)	Access to electricity (% of population)	Individuals using the Internet (% of population)
2016	YR2016	Afghanistan	AFG	-90238	63.136	520.252064031151	25.02	97.6999969482422	11
2016	YR2016	Albania	ALB	-10887	78.86	4124.05538986272	58.421	99.8899993896484	59.6
2016	YR2016	Algeria	DZA	-36227	75.732	3967.19945122178	71.459	99.3502502441406	42.94552688
2016	YR2016	American Samoa	ASM	-1641	..	13300.8246114811	87.198	..	..
2016	YR2016	Andorra	AND	1303	..	39932.1644867147	88.248	100	89.7
2016	YR2016	Angola	AGO	91623	61.092	1709.51553404553	64.149	41.8131294250488	23.2
2016	YR2016	Antigua and Barbuda	ATG	16	78.152	15862.6516627488	24.846	100	73
2016	YR2016	Argentina	ARG	5215	76.308	12790.2424732447	91.627	99.8495788574219	70.96898082
2016	YR2016	Armenia	ARM	-26804	74.664	3679.95197212365	63.082	99.8000030517578	64.34602977
2016	YR2016	Aruba	ABW	170	75.617	28451.2737445083	43.192	100	93.54245387
2016	YR2016	Australia	AUS	242184	82.4487804878049	49875.5651433836	85.8	100	86.54
2016	YR2016	Austria	AUT	66282	81.6414634146342	45307.5878620429	57.905	100	84.32374257
2016	YR2016	Azerbaijan	AZE	1484	72.004	3880.73873089556	55.021	100	78.2
2016	YR2016	Bahamas, The	BHS	1001	73.537	29887.1648786795	82.832	100	80
2016	YR2016	Bahrain	BHR	29052	79.557	22867.1811196134	89.09	100	97.9999807
2016	YR2016	Bangladesh	BGD	-55013	71.09	1659.96160523559	35.083	75.9199981689453	18.1
2016	YR2016	Barbados	BRB	-65	76.815	17343.7254395315	31.193	100	79.54939789
2016	YR2016	Belarus	BLR	15258	73.8268292682927	5039.68188628499	77.661	100	71.11304576
2016	YR2016	Belgium	BEL	56781	81.4390243902439	42012.6227191016	97.919	100	86.51647666
2016	YR2016	Belize	BLZ	1283	73.399	6148.70696109313	45.495	93.2223129272461	44.57574032
2016	YR2016	Benin	BEN	3827	59.539	1049.82030349923	46.229	37.0952453613281	14.5
2016	YR2016	Bermuda	BMU	0	81.2270731707317	106885.878489327	100	100	98
2016	YR2016	Bhutan	BTN	-521	70.602	2879.54712101999	39.428	99.5897903442383	41.77264453
2016	YR2016	Bolivia	BOL	-10071	67.628	3013.5027077617	68.738	91.8000030517578	39.6975146
2016	YR2016	Bosnia and Herzegovina	BIH	-32195	76.808	4858.77592634808	47.518	100	60.25653543
2016	YR2016	Botswana	BWA	3129	65.464	6411.5271592539	67.933	64.1750564575195	39.36299738
2016	YR2016	Brazil	BRA	82589	74.442	8680.76879182018	86.042	99.6999969482422	60.87254007
2016	YR2016	British Virgin Islands	VGB	275	75.724	..	46.957	100	77.70142968
2016	YR2016	Brunei Darussalam	BRN	-539	74.733	26762.9456464617	76.99	100	90
2016	YR2016	Bulgaria	BGR	-14947	74.8121951219512	7569.47881476759	74.329	100	59.82554766
2016	YR2016	Burkina Faso	BFA	-7603	59.326	665.786345451309	28.134	16.641056060791	12
2016	YR2016	Burundi	BDI	-109490	60.793	242.065670543589	12.388	9.34840965270996	2.2
2016	YR2016	Cabo Verde	CPV	-1408	75.742	2978.19942029293	64.784	87.5449295043945	50.32281787
2016	YR2016	Cambodia	KHM	-40577	70.224	1281.10596442243	22.582	69.5443115234375	32.39845171
2016	YR2016	Cameroon	CMR	13251	60.233	1426.0655172286	55.179	59.8087768554688	20.6
2016	YR2016	Canada	CAN	320494	81.9	42315.6037056806	81.3	100	91.16
2016	YR2016	Cayman Islands	CYM	1077	..	78861.1192668733	100	100	79
2016	YR2016	Central African Republic	CAF	-52758	53.46	372.135465512503	40.618	13.5338163375854	3.1
2016	YR2016	Chad	TCD	21546	52.083	691.980094943092	22.677	9.26384735107422	5.8
2016	YR2016	Channel Islands	CHI	1180	81.366	..	30.93	100	..
2016	YR2016	Chile	CHL	126525	80.079	13785.6883317516	87.422	100	83.55858602
2016	YR2016	China	CHN	-153054	77.218	8094.36336674652	56.736	100	53.2
2016	YR2016	Colombia	COL	79978	76.471	5938.46385585875	80.108	98.4000015258789	58.13649357
2016	YR2016	Comoros	COM	-1136	63.237	1357.26626338776	28.619	76.9930419921875	7.938322771
2016	YR2016	Congo, Dem. Rep.	COD	173022	59.066	456.027931170745	43.307	17.0418376922607	10.1
2016	YR2016	Congo, Rep.	COG	-14788	63.577	1970.25024887995	66.001	45.5083274841309	8.121949323
2016	YR2016	Costa Rica	CRI	4150	79.459	11899.8132624909	77.735	99.5	65.88044919
2016	YR2016	Cote d'Ivoire	CIV	-20148	58.06	1980.87814206612	49.881	64.3000030517578	41.20781493
2016	YR2016	Croatia	HRV	-13569	78.0219512195122	12552.2553786198	56.403	100	72.69726967
2016	YR2016	Cuba	CUB	-14454	77.643	8055.88990736388	76.93	98.9547882080078	42.97867519
2016	YR2016	Curacao	CUW	647	77.719512195122	18881.8306152417	89.272	100	61.85551074
2016	YR2016	Cyprus	CYP	4878	81.056	24715.73046875	66.881	100	75.9002054
2016	YR2016	Czechia	CZE	-300	79.0268292682927	18575.2320271915	73.57	100	76.4811987
2016	YR2016	Denmark	DNK	22859	80.8536585365854	54663.9983719195	87.642	100	96.96778525
2016	YR2016	Djibouti	DJI	1623	62.191	2545.73879850905	77.528	58.6754455566406	30.8
2016	YR2016	Dominica	DMA	179	..	8223.04145029796	69.88	99.9835357666016	67.03
2016	YR2016	Dominican Republic	DOM	-30181	72.987	7191.07657188469	79.436	98.9000015258789	63.87086474
2016	YR2016	Ecuador	ECU	27063	76.763	6079.08873612077	63.534	98.6999969482422	54.06292473
2016	YR2016	Egypt, Arab Rep.	EGY	4132	70.844	3331.61246134688	42.732	100	41.24806709
2016	YR2016	El Salvador	SLV	-47499	72.025	3870.31298246063	70.501	96	28.99707305
