Country Name,International migrant stock (% of population),"Life expectancy at birth, total (years)",GDP (constant 2015 US$),Urban population (% of total population),Access to electricity (% of population),Individuals using the Internet (% of population)
Afghanistan,-0.5851481185174382,-1.1464555867563004,-0.22713248186590576,-1.4239551835242807,-0.3977566433450833,-1.366917888313122
Albania,-0.5303566906452322,0.8418480200273012,-0.23247054594429428,-0.028077515063809674,0.6378866338893311,0.3253195787924643
Algeria,-0.6231675233444877,0.46595477638012867,-0.13664021722943107,0.5457419524587537,0.6090376232370541,-0.32527336189163225
Angola,-0.6355651175846189,-1.3957243029273565,-0.18546275470963763,0.2291017482987705,-1.4704909508351602,-0.8888886367088712
Armenia,-0.23758035114892018,0.3184334703028477,-0.23298723213116668,0.21365901475354585,0.6386137893148215,0.4018889325026872
Austria,0.5120537551087183,1.1585640622525244,-0.002748978520854796,-0.016056993938579043,0.6386137893148215,1.2660749507044453
Azerbaijan,-0.4818604185118597,-0.05285750662859275,-0.20662886144888565,-0.14443273734361967,0.6386137893148215,1.0246200123620015
"Bahamas, The",0.3651270986702453,0.15275186853645598,-0.23217606719479475,1.0547104946224226,0.6386137893148215,1.0594110787087445
Bangladesh,-0.6048014341753019,-0.17226767006382857,-0.11860178527772419,-1.0173535703736947,-0.2739834706052246,-1.205487340464234
Barbados,0.15266687403889245,0.5938231597253619,-0.23660035284219028,-1.148210417783231,0.6386137893148215,0.9936559633134
Belarus,0.10377551098647068,0.2174809144473933,-0.20453340705607315,0.8166528431565613,0.6386137893148215,0.5107685188643606
Belize,0.34535869790324714,0.16307587225012726,-0.238158875277595,-0.5426071524099697,0.34043012668114886,-0.20733164697617298
Benin,-0.5124066551823,-1.5546890830005151,-0.23246973335054777,-0.5302444100427398,-1.9206756907149127,-1.2627190652286182
Bhutan,-0.2200767384607112,-0.19067673692676038,-0.23828713166357646,-0.8304152169314999,0.4760933032631459,-0.2696076557368434
Bolivia,-0.5745250774116473,-0.5669431373346681,-0.21907264368972934,0.44072280882017517,0.33035065939252295,-0.3499750189978199
Bosnia and Herzegovina,-0.6028070203167422,0.5356107050506836,-0.22947976708471637,-0.46701903558334296,0.6277045158920312,0.1757179935014689
Botswana,-0.18609248193701355,-1.0022926915256347,-0.2311415708088652,0.38776407162076165,-0.7384861116629885,-0.3561660763815283
Brunei Darussalam,0.9707481713757623,0.35749054459312213,-0.23151371767551432,0.7944940177370975,0.6386137893148215,0.8228318275508913
Bulgaria,-0.5681312728772622,0.3406529834380058,-0.20804988143972405,0.680149345254034,0.6386137893148215,0.3168393123840625
